hand, deck, pile, move
[66; 66; 66; 66; 66; 23; 41; 34; 21; 15], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51; 11; 13; 45], [00000], [110[0; 3]2]
[66; 66; 66; 66; 66; 23; 41; 34; 15; 45], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51; 11; 13], [01000], [210[1]1]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 13], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51; 11], [01010], [400]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 13], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31; 51], [01010], [304]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 13], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24; 31], [11010], [304]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 13], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35; 32; 24], [11011], [300]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 32], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53; 35], [11111], [110[1; 4]3]
[66; 66; 66; 66; 66; 23; 34; 15; 45; 35], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41; 54; 53], [11211], [403]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 54], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42; 41], [11211], [210[1; 2; 3]5]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 41], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21; 42], [11211], [403]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 41], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33; 32; 21], [11211], [304]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 32], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14; 33], [11221], [403]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 32], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23; 14], [11221], [301]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 32], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41; 23], [11231], [300]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 32], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52; 22; 41], [11241], [302]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 22], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52; 52], [11341], [210[4]2]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 52], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13; 52], [12341], [110[4]5]
[66; 66; 66; 66; 66; 23; 15; 45; 35; 52], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12; 13], [12342], [110[0]2]
